/Users/jel/anaconda/bin/python /Users/jel/Documents/Personal/PycharmProjects/Project2/project_2_lenet.py
Loading training_file="./train.p"
Loading testing_file="./test.p"
num_train=37248, num_valid=1961, num_test=12630, num_classes=43
BATCH_SIZE=64, EPOCHS=1000, steps_per_epoch=582, image_shape=1024
Epoch 164: Validation loss=0.2256, Validation accuracy=0.9792
Epoch 165: Validation loss=0.2263, Validation accuracy=0.9797
Epoch 166: Validation loss=0.2275, Validation accuracy=0.9797
Epoch 167: Validation loss=0.2652, Validation accuracy=0.9740
Epoch 168: Validation loss=0.2043, Validation accuracy=0.9807
Epoch 169: Validation loss=0.2043, Validation accuracy=0.9828
Epoch 170: Validation loss=0.2076, Validation accuracy=0.9818
Epoch 171: Validation loss=0.2093, Validation accuracy=0.9818
Epoch 172: Validation loss=0.2108, Validation accuracy=0.9812
Epoch 173: Validation loss=0.2126, Validation accuracy=0.9807
Epoch 174: Validation loss=0.2139, Validation accuracy=0.9807
Epoch 175: Validation loss=0.2158, Validation accuracy=0.9802
Epoch 176: Validation loss=0.2178, Validation accuracy=0.9797
Epoch 177: Validation loss=0.2206, Validation accuracy=0.9807
Epoch 178: Validation loss=0.2797, Validation accuracy=0.9688
Epoch 179: Validation loss=0.2330, Validation accuracy=0.9802
Epoch 180: Validation loss=0.2262, Validation accuracy=0.9802
Epoch 181: Validation loss=0.2181, Validation accuracy=0.9828
Epoch 182: Validation loss=0.2175, Validation accuracy=0.9818
Epoch 183: Validation loss=0.2175, Validation accuracy=0.9812
Epoch 184: Validation loss=0.2178, Validation accuracy=0.9812
Epoch 185: Validation loss=0.2184, Validation accuracy=0.9812
Epoch 186: Validation loss=0.2197, Validation accuracy=0.9807
Epoch 187: Validation loss=0.2214, Validation accuracy=0.9807
Epoch 188: Validation loss=0.2237, Validation accuracy=0.9807
Epoch 189: Validation loss=0.2236, Validation accuracy=0.9807
Epoch 190: Validation loss=0.2693, Validation accuracy=0.9776
Epoch 191: Validation loss=0.2366, Validation accuracy=0.9802
Epoch 192: Validation loss=0.2360, Validation accuracy=0.9797
Epoch 193: Validation loss=0.2408, Validation accuracy=0.9807
Epoch 194: Validation loss=0.2330, Validation accuracy=0.9807
Epoch 195: Validation loss=0.2316, Validation accuracy=0.9812
Epoch 196: Validation loss=0.2313, Validation accuracy=0.9812
Epoch 197: Validation loss=0.2313, Validation accuracy=0.9812
Epoch 198: Validation loss=0.2323, Validation accuracy=0.9823
Epoch 199: Validation loss=0.2341, Validation accuracy=0.9818
Epoch 200: Validation loss=0.2362, Validation accuracy=0.9818
Epoch 201: Validation loss=0.2377, Validation accuracy=0.9818
Epoch 202: Validation loss=0.2380, Validation accuracy=0.9818
Epoch 203: Validation loss=0.4689, Validation accuracy=0.9542
Epoch 204: Validation loss=0.2386, Validation accuracy=0.9786
Epoch 205: Validation loss=0.2501, Validation accuracy=0.9792
Epoch 206: Validation loss=0.2409, Validation accuracy=0.9797
Epoch 207: Validation loss=0.2396, Validation accuracy=0.9797
Epoch 208: Validation loss=0.2380, Validation accuracy=0.9812
Epoch 209: Validation loss=0.2369, Validation accuracy=0.9812
Epoch 210: Validation loss=0.2357, Validation accuracy=0.9818
Epoch 211: Validation loss=0.2348, Validation accuracy=0.9818
Epoch 212: Validation loss=0.2343, Validation accuracy=0.9818
Epoch 213: Validation loss=0.2350, Validation accuracy=0.9818
Epoch 214: Validation loss=0.2357, Validation accuracy=0.9812
Epoch 215: Validation loss=0.2364, Validation accuracy=0.9807
Epoch 216: Validation loss=0.2380, Validation accuracy=0.9812
Epoch 217: Validation loss=0.2380, Validation accuracy=0.9807
Epoch 218: Validation loss=0.3009, Validation accuracy=0.9714
Epoch 219: Validation loss=0.2561, Validation accuracy=0.9802
Epoch 220: Validation loss=0.2617, Validation accuracy=0.9818
Epoch 221: Validation loss=0.2571, Validation accuracy=0.9818
Epoch 222: Validation loss=0.2571, Validation accuracy=0.9818
Epoch 223: Validation loss=0.2577, Validation accuracy=0.9823
Epoch 224: Validation loss=0.2581, Validation accuracy=0.9818
Epoch 225: Validation loss=0.2587, Validation accuracy=0.9818
Epoch 226: Validation loss=0.2592, Validation accuracy=0.9818
Epoch 227: Validation loss=0.2598, Validation accuracy=0.9818
Epoch 228: Validation loss=0.2598, Validation accuracy=0.9828
Epoch 229: Validation loss=0.2606, Validation accuracy=0.9828
Epoch 230: Validation loss=0.2613, Validation accuracy=0.9823
Epoch 231: Validation loss=0.2632, Validation accuracy=0.9823
Epoch 232: Validation loss=0.2806, Validation accuracy=0.9776
Epoch 233: Validation loss=0.2519, Validation accuracy=0.9797
Epoch 234: Validation loss=0.2559, Validation accuracy=0.9802
